Egbertree Emsham Burrerchester Skelhampton Elmey Watchwang Todderbrough Ciringsmith Rotling Ketley Clerelow Blanhead Shaftgrove Soddleney Egginghall Egmansdown Emsling Camborough Cleremere Fulover Worborough Candlesstanling Chipmerbrook Leatherlow Tipdown Leatherlow Chipmerbrook Candlesstanling Worborough Fulover Cleremere Camborough Emsling Egmansdown Egginghall Soddleney Shaftgrove Blanhead Clerelow Ketley Rotling Ciringsmith Todderbrough Watchwang Elmey Burrerchester Emsham Egbertree
12
Egbertree Bootherlow
Skelhampton Skelhampton
Todderbrough Todderbrough
Ciringsmith Ciringsmith
Ketley Marlseybrough
Shaftgrove Shaftgrove
Soddleney Soddleney
Egmansdown Reddledenthorne
Cleremere Cleremere
Fulover Fulover
Candlesstanling Falrensbury
Tipdown Tipdown Sidensmith
